A,B,C,D
1,0,35,-34.65
2,34,42.17,509.08
3,1,49.09,-18.65
4,2,56.03,-2.9
5,2,63.04,-2.96
6,6,70.03,61.06
7,10,77.17,125.23
8,26,84.26,381.08
9,12,91.37,157.33
10,22,98.27,317.08
11,29,105.25,429.06
12,9,112.36,109.01
13,24,119.17,349.35
14,24,126.19,349.05
15,9,133.17,109.28
16,23,140.29,333.11
17,32,147.35,477.14
18,3,154.05,13.03
19,1,161.21,-18.89
20,35,168,525.27
21,1,175.28,-18.99
22,19,182.23,269.2
23,11,189.19,141.17
24,26,196.26,381.3
25,8,203.03,93.02
26,13,210,173.07
27,5,217.3,45.14
28,12,224.13,157.23
29,31,231.09,461.09
30,34,238.34,509.34
31,11,245.25,141.05
32,16,251.99,221.25
33,34,259.31,509.36
34,24,266.09,349.07
35,4,273.31,29.19
36,19,280.12,268.99
37,22,287.11,317.36
38,22,294.18,317.12
39,31,301.09,460.99
40,28,308.02,413.09
41,25,315.24,364.98
42,24,322.32,349.22
43,8,329.01,93.1
44,35,336.04,525.18
45,0,343.37,-34.87
46,11,350.27,141.32
47,31,356.98,461.15
48,34,364.01,509.31
49,29,371.08,429.22
50,2,378.02,-3.01
51,10,385,125.36
52,3,392.06,13.25
53,8,399.35,93.28
54,34,406.04,509.25
55,10,413.22,125.17
56,12,420.33,157.06
57,0,427.22,-34.79
58,18,434.02,253.14
59,21,441.21,301.17
60,0,448,-34.96
61,9,455.07,109.13
62,15,462.31,205.15
63,18,469.35,253.23
64,23,476.34,332.99
65,8,483.07,93.34
66,5,490.26,45.06
67,26,497.28,381.27
68,39,504.04,589.29
69,38,511.06,573
70,1,518.03,-18.78
71,21,525.05,301.3
72,36,532.08,541.15
73,34,539.18,509.22
74,7,546.04,77.2
75,27,553.22,397.1
76,6,560.01,61.25
77,18,567.02,253.33
78,39,574.35,589.05
79,13,581.36,173.3
80,9,588.18,109.37
81,35,595.09,525
82,20,602.3,285.01
83,19,609.15,269
84,2,616.07,-2.87
85,15,623.01,205.31
86,31,629.98,460.99
87,7,637.32,77.2
88,16,644.36,221.07
89,15,651.04,205.16
90,17,657.99,237.09
91,9,665.23,109.12
92,24,672.37,349.29
93,1,679.26,-18.85
94,7,686.15,77.35
95,21,693.27,301.25
96,13,699.98,173.12
97,12,707.24,157.22
98,10,714.05,125.08
99,35,721.11,525.1
100,30,728.36,445.04
